ID_REF	VALUE
200722_s_at	8.790823845
200723_s_at	12.79070221
200724_at	10.87039057
200725_x_at	14.92006972
200726_at	14.13775956
200727_s_at	11.34604271
200728_at	12.71586037
200729_s_at	11.3860275
200730_s_at	11.06123522
200731_s_at	10.99542851
200732_s_at	13.63857226
200733_s_at	13.05685491
200734_s_at	10.14627307
200735_x_at	15.72973438
200736_s_at	12.87430967
200737_at	13.26540122
200738_s_at	14.08620168
200739_s_at	8.632161283
200740_s_at	11.95524009
200741_s_at	14.686685
200742_s_at	10.4733718
200743_s_at	11.9045973
200744_s_at	12.15967759
200745_s_at	12.01602728
200746_s_at	13.12598009
200747_s_at	11.68457345
200748_s_at	15.61209774
200749_at	13.43718852
200750_s_at	14.37323474
200751_s_at	13.30326963
200752_s_at	8.457443033
200753_x_at	12.71597169
200754_x_at	14.71425517
200755_s_at	12.13587485
200756_x_at	9.796368592
200757_s_at	12.9193492
200758_s_at	11.42768547
200759_x_at	13.82756305
200760_s_at	13.75088297
200761_s_at	14.16235188
200762_at	12.55290428
200763_s_at	14.98255137
200764_s_at	12.72363613
200765_x_at	13.50369952
200766_at	8.469988372
200767_s_at	9.305585237
200768_s_at	14.41480499
200769_s_at	7.976378016
200770_s_at	10.64946074
200771_at	12.18153786
200772_x_at	14.89922952
200773_x_at	14.34370736
200774_at	13.57324132
200775_s_at	15.23069597
200776_s_at	11.15636095
200777_s_at	13.79120985
200778_s_at	12.01245329
200779_at	14.99576931
200780_x_at	14.91981779
200781_s_at	15.79815085
200782_at	11.66762678
200783_s_at	12.17236248
200784_s_at	2.014942594
200785_s_at	3.25313774
200786_at	14.28368813
200787_s_at	10.61339366
200788_s_at	11.39531583
200789_at	13.67011784
200790_at	13.92092037
200791_s_at	13.028508
200792_at	14.10298379
200793_s_at	10.68994641
200794_x_at	13.05271586
200795_at	2.014942594
200796_s_at	2.014942594
200797_s_at	13.57064686
200798_x_at	12.19777442
200799_at	8.425349984
200800_s_at	11.15108457
200801_x_at	15.68707529
200802_at	13.12405459
200803_s_at	13.72855645
200804_at	14.31695178
200805_at	13.00795927
200806_s_at	14.44735543
200807_s_at	14.748298
200808_s_at	8.402492784
200809_x_at	15.06000471
200810_s_at	14.78663707
200811_at	14.67954677
200812_at	12.91648553
200813_s_at	12.37421906
200814_at	13.36185956
200815_s_at	11.53240285
200816_s_at	12.26794091
200817_x_at	15.17373731
200818_at	14.11906682
200819_s_at	15.36591425
200820_at	13.75003939
200821_at	12.1076894
200822_x_at	13.58920157
200823_x_at	15.35991953
200824_at	5.610787396
200825_s_at	12.55260714
200826_at	13.5941292
200827_at	11.0422026
200828_s_at	12.9977947
200829_x_at	13.09060681
200830_at	13.47200599
200831_s_at	14.1880205
200832_s_at	14.497086
200833_s_at	12.89278609
200834_s_at	14.70394569
200835_s_at	12.6658283
200836_s_at	12.19105725
200837_at	13.09091028
200838_at	12.14659116
200839_s_at	13.68179701
200840_at	13.96062091
200841_s_at	11.08884483
200842_s_at	13.5354809
200843_s_at	13.67007731
200844_s_at	14.4602763
200845_s_at	13.84515271
200846_s_at	12.74669203
200847_s_at	14.29359429
200848_at	11.07868427
200849_s_at	12.09302613
200850_s_at	13.61107561
200851_s_at	11.77926142
200852_x_at	9.563059155
200853_at	14.58584382
200854_at	12.41550829
200855_at	10.25560214
200856_x_at	9.440028869
200857_s_at	10.35290196
200858_s_at	15.47713745
200859_x_at	9.506097271
200860_s_at	13.48006867
200861_at	12.00661479
200862_at	14.68750674
200863_s_at	14.01004109
200864_s_at	11.86187089
200865_at	2.014942594
200866_s_at	12.39269011
200867_at	12.42956897
200868_s_at	10.74264386
200869_at	14.75158388
200870_at	13.78492026
200871_s_at	14.12054249
200872_at	8.20216875
200873_s_at	14.32338795
200874_s_at	11.089331
200875_s_at	14.1547157
200876_s_at	13.85837894
200877_at	13.84650326
200878_at	5.478443644
200879_s_at	2.014942594
200880_at	12.63457798
200881_s_at	13.74602471
200882_s_at	14.35276452
200883_at	13.76949961
200884_at	13.34372403
200885_at	11.24505832
200886_s_at	14.27320627
200887_s_at	10.81825353
200888_s_at	15.56517805
200889_s_at	12.5863595
200890_s_at	12.10005081
200891_s_at	14.28835674
200892_s_at	12.38030477
200893_at	13.76764235
200894_s_at	12.43753199
200895_s_at	14.22574775
200896_x_at	13.6530438
200897_s_at	11.66349978
200898_s_at	11.41297594
200899_s_at	13.37840874
200900_s_at	8.85235198
200901_s_at	11.98589612
200902_at	13.53937932
200903_s_at	13.47261158
200904_at	6.78452866
200905_x_at	9.63300268
200906_s_at	9.664714675
200907_s_at	11.62993967
200908_s_at	15.54212923
200909_s_at	15.40120772
200910_at	14.76326709
200911_s_at	11.72770093
