Reporter Identifier	VALUE
A_23_P1043	-2.495006185
A_23_P104318	-2.621398877
A_23_P104323	0.979279488
A_23_P104346	1.558225162
A_23_P104351	-0.290178002
A_23_P104362	-1.092859743
A_23_P104372	-1.155205173
A_23_P104387	-0.505537551
A_23_P104413	0.048146707
A_23_P10442	-3.210525432
A_23_P104438	-1.914654999
A_23_P104445	3.68091796
A_23_P104451	-0.396441783
A_23_P104464	4.314320037
A_23_P104471	-2.812233804
A_23_P104493	-1.176604498
A_23_P104509	2.081245287
A_23_P104522	-4.154697256
A_23_P104555	0.147906369
A_23_P104563	-0.417025237
A_23_P104579	1.160149142
A_23_P10458	1.073524341
A_23_P104583	0.547075788
A_23_P104594	0.125891188
A_23_P104607	-0.828584031
A_23_P104617	1.912480136
A_23_P104624	0.920024695
A_23_P10463	-1.728588164
A_23_P104641	1.170710337
A_23_P104651	-5.081041902
A_23_P104676	0.964391444
A_23_P104689	1.044371648
A_23_P104692	-0.544958234
A_23_P104705	-0.032303271
A_23_P104734	-0.863673386
A_23_P104741	-2.558326909
A_23_P104762	-4.504847827
A_23_P104798	0.132551181
A_23_P104804	3.395698632
A_23_P104819	0.210990229
A_23_P104845	0.461373613
A_23_P104853	0.984158097
A_23_P104865	0.18740243
A_23_P104876	-2.341178629
A_23_P10488	0.139621438
A_23_P104881	0.154568665
A_23_P104892	0.135633473
A_23_P104942	-0.260071119
A_23_P10497	2.160197103
A_23_P104996	0.159987184
A_23_P10500	1.870337762
A_23_P105002	-1.08375659
A_23_P105012	0.109512635
A_23_P105028	-1.195894322
A_23_P105044	0.640571667
A_23_P10506	0.443175497
A_23_P105066	0.83944112
A_23_P105088	0.853179969
A_23_P105118	0.028699006
A_23_P105138	1.241445819
A_23_P105144	-3.250117561
A_23_P10518	0.284343302
A_23_P105184	1.865972759
A_23_P105197	0.224932164
A_23_P105212	-0.855541693
A_23_P105227	-0.126794446
A_23_P10525	0.358045953
A_23_P105251	1.34611917
A_23_P105264	1.634063047
A_23_P105276	0.233069083
A_23_P105307	3.408072245
A_23_P105313	1.037557809
A_23_P105368	1.923645471
A_23_P105382	0.810960883
A_23_P105392	-1.446092374
A_23_P105409	0.209592055
A_23_P10542	-0.181308846
A_23_P105423	3.242313375
A_23_P105436	0.03492149
A_23_P105442	-0.483593402
A_23_P105453	0.440709754
A_23_P105461	2.53511236
A_23_P105465	0.927701096
A_23_P105475	-2.430086391
A_23_P105495	0.345396923
A_23_P105519	1.363301562
A_23_P105524	0.377273626
A_23_P105535	0.708754108
A_23_P105545	0.654172371
A_23_P105562	0.287745492
A_23_P105571	0.398831851
A_23_P105583	0.287777496
A_23_P10559	-1.182550591
A_23_P105592	-0.070911641
A_23_P1056	-0.038100782
A_23_P10561	-0.324914052
A_23_P105619	0.433251106
A_23_P105625	0.132407639
A_23_P10564	-0.013534172
A_23_P105646	0.619124527
A_23_P105664	-0.358014004
A_23_P105691	0.066142381
A_23_P105705	0.276738885
A_23_P105730	0.622686468
A_23_P105732	-0.566160994
A_23_P105747	1.406455894
A_23_P105753	1.768725641
A_23_P105794	1.899378547
A_23_P105803	-1.094185956
A_23_P105815	1.372547983
A_23_P105833	-1.697090533
A_23_P105856	1.8319329
A_23_P105862	4.430201468
A_23_P105873	0.315189128
A_23_P105886	-0.213539696
A_23_P105900	0.286035407
A_23_P10591	-1.826267289
A_23_P105923	-0.111149187
A_23_P105939	-0.366451165
A_23_P105957	-2.751496471
A_23_P105963	-1.401516617
A_23_P105973	-3.137985593
A_23_P106	0.860380587
A_23_P106002	0.682507872
A_23_P106016	-4.249507507
A_23_P106024	-2.102995436
A_23_P106042	2.846927909
A_23_P10605	1.724368263
A_23_P106056	-0.092772151
A_23_P106069	0.620340287
A_23_P106080	0.304418347
A_23_P106103	0.372257335
A_23_P106117	-2.904760662
A_23_P106127	-0.458925502
A_23_P106131	-2.076774389
A_23_P10614	-0.860717253
A_23_P106145	-2.180331722
A_23_P106158	-1.01775979
A_23_P106162	0.177738948
A_23_P106174	1.406335196
A_23_P106194	2.037112009
A_23_P106204	-0.590506555
A_23_P106226	1.175192687
A_23_P106236	0.345998029
A_23_P106241	-1.059554132
A_23_P106258	-0.048191846
A_23_P106280	0.943391494
A_23_P106299	0.982354038
A_23_P106322	-1.931300034
A_23_P106362	5.71680658
A_23_P106371	0.505317034
A_23_P106389	-0.686880642
A_23_P106391	-2.964513596
A_23_P10640	0.122663809
A_23_P106405	-6.548586947
A_23_P106412	-0.908087834
A_23_P106425	-0.704549825
A_23_P106433	-2.589224343
A_23_P106439	-1.356454722
A_23_P106463	-0.214606856
A_23_P10647	-3.09672906
A_23_P106472	0.019317353
A_23_P106481	0.012137648
A_23_P106497	-0.516029666
A_23_P106505	-0.341921335
A_23_P106522	1.493415294
A_23_P106532	-0.643832915
A_23_P106544	-0.976172411
A_23_P106559	0.461111232
A_23_P106562	0.809461106
A_23_P106575	-1.374764647
A_23_P106602	1.26160589
A_23_P106617	-3.674338199
A_23_P106629	3.744305237
A_23_P106633	0.494778475
A_23_P106656	0.090932173
A_23_P106661	0.253694387
A_23_P106663	-0.111554647
A_23_P106675	4.386694519
A_23_P106682	-6.56905597
