Reporter Identifier	VALUE
A_23_P80032	0.06545448
A_23_P117437	-0.29926968
A_23_P82128	0.29288387
A_23_P201939	-0.12180853
A_33_P3257367	-0.37927437
A_33_P3359846	-0.3603611
A_33_P3282325	-0.18125439
A_19_P00808379	0.6268425
A_23_P104972	0.317698
A_23_P125278	-0.6534195
ERCC-00053_71	-0.20418406
A_23_P258769	0.32518864
A_23_P59294	0.1746006
A_23_P140716	-0.19879484
A_32_P167904	-0.20526266
ERCC-00034_158	-0.21604156
A_33_P3210880	-1.8597159
A_23_P397308	-0.51533747
A_23_P300150	0.08268738
A_24_P261470	-0.7627373
A_23_P216894	0
A_23_P334798	0
A_23_P214821	0
A_23_P86801	0.42509794
A_19_P00812901	-0.5074444
A_23_P98382	0.94085217
A_32_P112881	0.32753086
ERCC-00137_95	0.67162323
A_33_P3364278	-0.28211784
A_33_P3357653	0.5354295
A_23_P419947	0.072668076
A_19_P00809088	0.6818733
A_23_P42802	-0.124091625
A_33_P3375451	0.7733693
A_23_P113793	-0.14185667
A_24_P392632	0.05120182
A_33_P3366456	0.57629347
A_33_P3305335	-0.3188324
A_33_P3420466	-0.0720644
A_19_P00326821	-0.70630884
A_23_P142187	0.0858922
A_33_P3321150	-0.16688633
A_33_P3370959	0
A_33_P3341239	-0.09031868
ERCC-00062_278	0.35447454
A_33_P3416612	0.01872158
ERCC-00113_271	-0.1973815
A_33_P3345001	-0.4597931
ETG10_13482	-0.264009
A_32_P509677	-0.35379696
A_19_P00804022	-0.35592842
A_33_P3250750	0.022608757
A_23_P200493	0.020096779
A_24_P109351	0.23234749
A_24_P353638	0
A_19_P00806676	0.49661303
A_33_P3264569	1.7399745
A_23_P416666	0.010453701
A_19_P00804859	-0.37052774
A_19_P00320927	0.5294795
A_23_P114983	0.095974445
A_24_P156490	0.17860508
A_33_P3328903	0.05122423
A_33_P3320415	-0.3766632
A_33_P3457052	-0.26430416
ERCC-00078_438	-0.31338978
A_19_P00811611	0.21525288
A_33_P3704738	-0.38172388
A_33_P3210423	-0.43246222
A_23_P70328	0
A_24_P60680	0.31284952
A_24_P68415	-1.6289425
A_23_P123539	-0.09643173
A_23_P217428	-0.31658125
A_33_P3399480	-0.3851695
A_24_P70002	-0.22818947
A_23_P134454	0
A_19_P00331252	0.6341934
A_33_P3417141	0.29841232
A_23_P110076	0.19363785
ERCC-00041_75	0.54408264
A_23_P142688	0.3217888
A_19_P00813091	0.5906501
A_33_P3348164	-0.6670022
A_33_P3301291	-0.86024094
A_33_P3244643	0
A_23_P131139	0.2270174
A_19_P00803908	0.49395752
A_33_P3278362	0.8421192
A_23_P7402	-0.5688033
A_33_P3388376	-0.8513508
A_33_P3311160	-0.25888348
ERCC-00143_89	-0.2951975
A_19_P00316333	1.100647
A_23_P149281	-0.7612176
A_33_P3377209	0.35525846
A_33_P3268783	-0.1816678
A_23_P10506	0
A_33_P3322395	-0.5219803
A_19_P00801354	0
A_23_P160567	0.25331402
A_19_P00316753	0.0876379
A_23_P34637	0.27796078
A_33_P3376140	-0.35106373
A_23_P136310	-0.3182454
A_33_P3794109	1.3509398
A_33_P3308833	0.1363883
A_24_P326398	0.20543098
A_24_P297539	1.0535727
A_33_P3212994	0.24602985
A_33_P3380383	-0.3611369
A_23_P100868	0
ERCC-00012_90	0.59534407
A_33_P3338382	0.41951132
A_24_P382489	-0.39171982
A_33_P3399935	-0.2570448
A_33_P3382924	-0.34633493
A_19_P00320158	0.37761784
A_23_P66402	0.21422577
A_33_P3306192	-0.58329296
A_33_P3346508	0.36901522
ERCC-00031_101	-0.3082919
A_23_P149892	-0.488595
A_33_P3266444	-0.31795406
A_33_P3380652	0.25481987
A_23_P67771	-0.17116833
A_33_P3238606	-0.34679556
A_33_P3723827	-0.34191704
ERCC-00079_170	0.66833544
A_23_P34877	-0.33088255
ERCC-00099_60	-0.22970295
A_33_P3273457	0.85071516
A_23_P500282	0.18670464
A_19_P00318846	-0.32184267
A_23_P37375	-0.41708088
A_32_P110872	1.1202698
A_33_P3402419	-0.31159592
A_23_P163467	-0.53268814
A_23_P20075	0.10268116
A_33_P3369761	-0.14924145
A_33_P3789894	0.25015163
A_23_P365248	0.39046526
A_33_P3399181	0.34408474
A_23_P113613	-0.20615387
A_23_P146284	-0.38308716
A_23_P2322	-0.273283
A_19_P00801153	-0.26827335
A_33_P3270109	0.45765877
A_19_P00803334	0.9170289
A_23_P162874	-0.0971241
A_23_P55064	0.19047642
A_23_P212354	-0.058208466
A_24_P90900	0.20022726
A_19_P00321731	-0.07602978
A_33_P3297452	0.74134684
A_33_P3299160	0.39265203
A_33_P3235766	-1.3342285
A_19_P00331743	0.69899035
A_33_P3343727	-0.0699749
A_23_P85392	0.18949223
A_23_P91468	0.505723
A_33_P3262133	-0.33955097
A_23_P94533	0.070103645
A_24_P55148	1.8420038
A_23_P73540	-0.6276517
A_32_P150142	-0.3550768
ERCC-00077_121	0.22964525
A_23_P403898	0.18822098
A_33_P3275226	-0.1910367
A_19_P00328265	0.33809423
A_32_P73821	0.049235344
A_23_P106973	-0.07097912
A_19_P00322733	-0.32793808
A_23_P113972	-0.2432313
A_23_P27315	0.3991995
A_19_P00802864	0.35298395
A_23_P13548	-0.6652641
A_19_P00808186	0.88417244
A_23_P215111	0.353436
A_24_P315346	-0.14728737
A_19_P00319772	0.3555727
A_23_P103877	-0.21612453
A_33_P3226142	-0.27643013
A_23_P56140	0.5936823
A_23_P128698	0.03331375
A_23_P120428	-0.37476015
A_24_P50801	0
A_23_P100730	0.5314765
A_23_P120557	0.1091795
A_23_P7732	0.31831264
A_33_P3533377	-0.2229104
A_23_P204801	-0.35702372
A_33_P3333787	1.0659013
A_19_P00802450	0.026620865
A_19_P00803329	-0.46032524
A_23_P133153	-0.24338007
ERCC-00069_99	-0.23921394
A_33_P3274105	-0.011089325
A_23_P110196	-0.00185442
A_19_P00325781	0.001966476
A_23_P103631	0.31896877
A_23_P97860	-0.2977848
A_33_P3227264	-0.04807949
A_33_P3292829	-0.74764633
ERCC-00109_120	-0.19638014
A_19_P00323165	-0.4926653
ERCC-00157_60	-0.25590324
A_33_P3301884	1.5084457
ERCC-00042_60	-0.25357723
A_33_P3316064	-0.31589317
A_23_P60009	-0.49970722
A_23_P255153	0.44408512
A_23_P84448	-0.16440964
ERCC-00060_190	-0.23232031
A_33_P3258462	-0.37311077
A_33_P3243248	0.17776728
A_33_P3342300	-0.37766504
A_33_P3253427	0.06670666
A_23_P106405	0
A_23_P120931	-0.24069118
