Reporter Identifier	VALUE
GT_44k_23_P103248	0.19544601
GT_44k_23_P103256	-6.1848707
GT_44k_23_P103269	-3.805429
GT_44k_23_P103276	-0.73844147
GT_44k_23_P103282	6.003416
GT_44k_23_P103310	-5.5629616
GT_44k_23_P103315	3.8565197
GT_44k_23_P103328	-8.282244
GT_44k_23_P103334	0.50449085
GT_44k_23_P103349	-5.054854
GT_44k_23_P103361	-5.594352
GT_44k_23_P103371	-6.366744
GT_44k_23_P103398	3.5228739
GT_44k_23_P103405	-2.5835633
GT_44k_23_P103414	3.5304737
GT_44k_23_P103424	-6.6070237
GT_44k_23_P103433	-2.2785149
GT_44k_23_P103442	2.3768015
GT_44k_23_P103454	4.3830223
GT_44k_23_P103465	-5.7262883
GT_44k_23_P103476	0.37284565
GT_44k_23_P103486	-1.1883602
GT_44k_23_P103496	-1.2646542
GT_44k_23_P103503	0.60611343
GT_44k_23_P103511	0.9064388
GT_44k_23_P103522	-7.186269
GT_44k_23_P103532	-2.8475986
GT_44k_23_P10356	-0.011784554
GT_44k_23_P103561	-0.589942
GT_44k_23_P103571	-1.370717
GT_44k_23_P103588	-6.6429825
GT_44k_23_P103601	4.8395452
GT_44k_23_P103617	-4.9458866
GT_44k_23_P103628	2.3596058
GT_44k_23_P103631	5.930402
GT_44k_23_P103661	3.7603426
GT_44k_23_P103672	-1.1754417
GT_44k_23_P103690	1.6132259
GT_44k_23_P103698	4.6446857
GT_44k_23_P103703	-2.370112
GT_44k_23_P103720	0.38907242
GT_44k_23_P10374	1.5335789
GT_44k_23_P103743	-5.3619804
GT_44k_23_P103756	-1.6206188
GT_44k_23_P103765	-8.085629
GT_44k_23_P103775	-0.40412235
GT_44k_23_P103787	1.7554903
GT_44k_23_P103795	-0.19767761
GT_44k_23_P1038	-2.0361938
GT_44k_23_P103803	-6.8538866
GT_44k_23_P103812	-6.293146
GT_44k_23_P103824	1.133419
GT_44k_23_P103837	0.48353577
GT_44k_23_P10385	1.9707832
GT_44k_23_P103864	0.9801693
GT_44k_23_P103877	-5.727598
GT_44k_23_P103885	4.4834023
GT_44k_23_P103897	-3.4495387
GT_44k_23_P103905	3.5999823
GT_44k_23_P10391	-4.945435
GT_44k_23_P103919	2.5944805
GT_44k_23_P103923	-2.0637922
GT_44k_23_P103932	4.2889776
GT_44k_23_P103942	1.0629902
GT_44k_23_P103968	1.2506838
GT_44k_23_P103971	-7.9813743
GT_44k_23_P103981	6.287157
GT_44k_23_P103996	0.4358015
GT_44k_23_P10401	-1.909019
GT_44k_23_P104012	-7.526066
GT_44k_23_P104022	1.7949142
GT_44k_23_P104025	0.22736645
GT_44k_23_P104046	0.83228874
GT_44k_23_P104054	2.8596544
GT_44k_23_P104065	0.86234474
GT_44k_23_P104073	-2.3183022
GT_44k_23_P104086	-2.4391513
GT_44k_23_P104098	-4.47318
GT_44k_23_P104109	-0.9326496
GT_44k_23_P104116	6.400072
GT_44k_23_P104138	-2.3984237
GT_44k_23_P104146	0.7812662
GT_44k_23_P104151	0.32752514
GT_44k_23_P104188	-6.9078984
GT_44k_23_P104193	3.1881237
GT_44k_23_P104199	1.617136
GT_44k_23_P104201	3.6927662
GT_44k_23_P104224	-5.8535643
GT_44k_23_P104237	-5.1750417
GT_44k_23_P104252	-8.235864
GT_44k_23_P104275	-8.164639
GT_44k_23_P104282	-0.582983
GT_44k_23_P104295	-1.996839
GT_44k_23_P1043	2.018382
GT_44k_23_P104318	4.779522
GT_44k_23_P104323	1.3846827
GT_44k_23_P104335	-8.352279
GT_44k_23_P104346	0.8248396
GT_44k_23_P104351	4.2803955
GT_44k_23_P104362	3.9208078
GT_44k_23_P104372	4.041356
GT_44k_23_P104387	3.7928724
GT_44k_23_P104413	6.3268642
GT_44k_23_P10442	0.5788164
GT_44k_23_P104438	-6.679808
GT_44k_23_P104445	-1.4175577
GT_44k_23_P104451	3.056528
GT_44k_23_P104464	6.118554
GT_44k_23_P104471	-0.7419081
GT_44k_23_P104484	-5.5114775
GT_44k_23_P104493	0.24737835
GT_44k_23_P104509	-3.4316797
GT_44k_23_P104522	-8.170176
GT_44k_23_P104555	-3.9947467
GT_44k_23_P104563	-2.6253486
GT_44k_23_P104579	0.23510551
GT_44k_23_P10458	-5.433704
GT_44k_23_P104583	0.4138527
GT_44k_23_P104594	-4.49422
GT_44k_23_P104607	3.4735126
GT_44k_23_P104617	-2.9229112
GT_44k_23_P104624	-0.60863113
GT_44k_23_P10463	6.773987
GT_44k_23_P104641	1.7612085
GT_44k_23_P104651	3.3801966
GT_44k_23_P104676	3.010849
GT_44k_23_P104689	0.42045403
GT_44k_23_P104692	0.7325916
GT_44k_23_P104705	-4.7822576
GT_44k_23_P104734	2.9000692
GT_44k_23_P104741	-4.4770236
GT_44k_23_P104762	-1.3071508
GT_44k_23_P104798	0.64455795
GT_44k_23_P104804	-3.7186894
GT_44k_23_P104819	-7.4340954
GT_44k_23_P104845	-8.35122
